CustID,Company,Address,City,State,ZIP,WorkPhone,FaxNumber,Type,SalesRep,WebPage,ContactLast,ContactFirst,EmailAddress,DirectPhone
SZ95205,Snazzy Snacks,552 Carmelita Freeway, Brodhead,KY,40409,(422) 736-7379,(512) 836-9944,Retail,10,http://SnazzySnacks.com,Banks,Fallon,FBanks@snazzy.com,(131) 211-3536
HB00042,Home Baked,9767 Milford Burg, Ryan,IA,52330,(244) 746-2922,(395) 790-3162,Restaurant,7,http://www.Home Baked.com,Sears,Allegra,asears@homeBaked.com,(361) 953-1685
EP24854,Epicurian,499 Tabernacle Flat, North Concord,VT,5858,(794) 240-8504,(380) 328-2293,Restaurant,10,http://www.Epicurian.com,Vincent,Talon,talon@epicurian.com,(374) 809-9783
LV84203,Leticia Vito,7522 Thistle Hill Street, Stow,MA,1775,(774) 490-1999,(175) 436-6977,Retail,7,http://LeticiaVito.com,Gamble,Pandora,Pandora@lvit.com,(829) 874-9423
KA13911,Karamel Amor,9422 Riverbend Highway, Middlebrook,VA,24459,(503) 925-3150,(784) 249-4786,Restaurant,1,http://www/karamelamor.com,Giles,Edward,giles@gtt.com,(439) 985-6360
NP00678,Nina P,64 Andrews Freeway, Haverhill,MA,1832,(646) 949-0498,(429) 799-1551,Retail,8,http://www.NinaP.com,Elliott,Jade,missjade@ninap.com,(881) 954-7083
IB72915,Ibila,6925 Kensington Burg, Palatine Bridge,NY,13428,(885) 356-3896,(844) 683-3877,Restaurant,1,http://www.Ibila.com,Kelley,Sierra,sierra@ibila.com,(759) 299-8773
AK29004,All Kinds of Taste,114 Sheridan Branch, Sandy,UT,84093,(247) 427-5844,(561) 848-4258,Restaurant,10,http://www.AllKindsofTaste.com,Meyer,Daphne,daphne@allkindsoftaste.com,(741) 721-7364
FI76723,Figori,581 Low Turnpike, Ropesville,TX,79358,(837) 926-4297,(137) 141-2276,Restaurant,7,http://FigoriFood.com,Mckinney,Sacha,smckinneyFigoriFood.com,(551) 610-4042
WK98192,Winter Kitchen,290 Carolyn Drive, Cle Elum,WA,98922,(256) 759-5281,(725) 520-0369,Restaurant,8,http://www.WinterKitchen.com,Cannon,Mariam,sales@www.WinterKitchen.com,(421) 118-6343
GR20893,Greens Garden,394 Mesa Palms Avenue, Glen Campbell,PA,15742,(833) 488-4939,(890) 173-3742,Retail,1,http://greensgardenPA.com,Kelley,Jescie,Jescie@greensgardenPA.com,(695) 544-3377
NC74651,Niche Cuisine,41 Peavine Curve, Woodston,KS,67675,(442) 760-4909,(272) 706-5961,Retail,7,http://NicheCuisine2.com,Grimes,Zena,zena@NicheCuisine2.com,(616) 339-4737
